file_name,s3_key,file_format,file_size_bytes,last_modified,file_url
JC-201708 citibike-tripdata.csv.zip,JC-201708 citibike-tripdata.csv.zip,zip,727994,2017-10-03T15:52:49.000Z,https://s3.amazonaws.com/tripdata/JC-201708 citibike-tripdata.csv.zip
JC-201709-citibike-tripdata.csv.zip,JC-201709-citibike-tripdata.csv.zip,zip,683286,2017-10-03T15:52:49.000Z,https://s3.amazonaws.com/tripdata/JC-201709-citibike-tripdata.csv.zip
JC-201710-citibike-tripdata.csv.zip,JC-201710-citibike-tripdata.csv.zip,zip,720077,2018-01-31T21:15:18.000Z,https://s3.amazonaws.com/tripdata/JC-201710-citibike-tripdata.csv.zip
JC-201711-citibike-tripdata.csv.zip,JC-201711-citibike-tripdata.csv.zip,zip,488743,2018-01-31T21:15:19.000Z,https://s3.amazonaws.com/tripdata/JC-201711-citibike-tripdata.csv.zip
JC-201712-citibike-tripdata.csv.zip,JC-201712-citibike-tripdata.csv.zip,zip,331501,2018-01-31T21:15:19.000Z,https://s3.amazonaws.com/tripdata/JC-201712-citibike-tripdata.csv.zip
JC-201801-citibike-tripdata.csv.zip,JC-201801-citibike-tripdata.csv.zip,zip,335740,2018-09-06T18:44:38.000Z,https://s3.amazonaws.com/tripdata/JC-201801-citibike-tripdata.csv.zip
JC-201802-citibike-tripdata.csv.zip,JC-201802-citibike-tripdata.csv.zip,zip,397953,2018-09-06T18:44:38.000Z,https://s3.amazonaws.com/tripdata/JC-201802-citibike-tripdata.csv.zip
JC-201803-citibike-tripdata.csv.zip,JC-201803-citibike-tripdata.csv.zip,zip,453590,2018-09-06T18:44:39.000Z,https://s3.amazonaws.com/tripdata/JC-201803-citibike-tripdata.csv.zip
JC-201804-citibike-tripdata.csv.zip,JC-201804-citibike-tripdata.csv.zip,zip,628954,2018-09-06T18:44:39.000Z,https://s3.amazonaws.com/tripdata/JC-201804-citibike-tripdata.csv.zip
JC-201805-citibike-tripdata.csv.zip,JC-201805-citibike-tripdata.csv.zip,zip,909305,2018-09-06T18:44:40.000Z,https://s3.amazonaws.com/tripdata/JC-201805-citibike-tripdata.csv.zip
JC-201806-citibike-tripdata.csv.zip,JC-201806-citibike-tripdata.csv.zip,zip,1078776,2018-09-06T18:44:40.000Z,https://s3.amazonaws.com/tripdata/JC-201806-citibike-tripdata.csv.zip
JC-201807-citibike-tripdata.csv.zip,JC-201807-citibike-tripdata.csv.zip,zip,1114006,2018-09-06T18:44:41.000Z,https://s3.amazonaws.com/tripdata/JC-201807-citibike-tripdata.csv.zip
